au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.298698,0.298698,0.846312,0.846312,0.497831,0.497831,0.995662,0.945879,0.995662,0.149349,0.64718,0.64718,0.149349,0.64718,0,0,79,frame.00079.jpg,0.001152947,0.813483834,0.012952398,0.000142902,0.000500739,0.00165572,2.01E-05,0.1700914
0.251105,0.251105,0.567484,0.567484,0.159344,0.159344,0.289892,0.248041,0.318688,0.0679604,0.457673,0.457673,0.615085,0.342488,0.0863881,0.0863881,80,frame.00080.jpg,0.001612858,0.786301,0.007905379,9.88E-05,0.00032745,0.001440256,2.77E-05,0.202286512
0.290786,0.290786,0.581572,0.581572,0.0484643,0.0484643,0.0484643,0,0.0969287,0.0484643,0.484643,0.484643,0.969287,0.290786,0.145393,0.145393,81,frame.00081.jpg,0.001709312,0.824147761,0.010683486,0.000181798,0.000491762,0.009247621,8.46E-05,0.153453678
0.3,0.3,0.6,0.6,0.05,0.05,0.05,0,0.1,0.05,0.5,0.5,1,0.3,0.15,0.15,82,frame.00082.jpg,0.00382208,0.87798,0.014956386,0.000273896,0.001059939,0.015324374,0.000311914,0.08627144
0.3,0.3,0.6,0.6,0.05,0.05,0.05,0,0.1,0.05,0.5,0.5,1,0.3,0.15,0.15,83,frame.00083.jpg,0.00382208,0.87798,0.014956386,0.000273896,0.001059939,0.015324374,0.000311914,0.08627144
0.3,0.3,0.6,0.6,0.05,0.05,0.05,0,0.1,0.05,0.5,0.5,1,0.3,0.15,0.15,84,frame.00084.jpg,0.00382208,0.87798,0.014956386,0.000273896,0.001059939,0.015324374,0.000311914,0.08627144
0.3,0.3,0.6,0.6,0.05,0.05,0.05,0,0.1,0.05,0.5,0.5,1,0.3,0.15,0.15,85,frame.00085.jpg,0.00382208,0.87798,0.014956386,0.000273896,0.001059939,0.015324374,0.000311914,0.08627144
0.264324,0.264324,0.256482,0.256482,0.43581,0.43581,0.0894152,0.0247425,0.0551182,0.0399303,0.621985,0.621985,0.3285,0.412779,0.0950486,0.0950486,86,frame.00086.jpg,0.0099711,0.83438164,0.014848311,0.000666333,0.001928502,0.035671838,0.001964567,0.100567684
0.339878,0.339878,0.145662,0.145662,0.825419,0.825419,0.145662,0.0485541,0.0485541,0.0485541,0.922527,0.922527,0.0485541,0.631203,0.0971081,0.0971081,87,frame.00087.jpg,0.017901857,0.688610733,0.017581036,0.00105899,0.002561276,0.152770668,0.007694927,0.111820526
0.35,0.35,0.15,0.15,0.85,0.85,0.15,0.05,0.05,0.05,0.95,0.95,0.05,0.65,0.1,0.1,88,frame.00088.jpg,0.029883672,0.7544572,0.017582621,0.001203109,0.002676506,0.10286507,0.005593042,0.08573879
0.35,0.35,0.15,0.15,0.85,0.85,0.15,0.05,0.05,0.05,0.95,0.95,0.05,0.65,0.1,0.1,89,frame.00089.jpg,0.029883672,0.7544572,0.017582621,0.001203109,0.002676506,0.10286507,0.005593042,0.08573879
0.35,0.35,0.15,0.15,0.85,0.85,0.15,0.05,0.05,0.05,0.95,0.95,0.05,0.65,0.1,0.1,90,frame.00090.jpg,0.029883672,0.7544572,0.017582621,0.001203109,0.002676506,0.10286507,0.005593042,0.08573879
0.323915,0.323915,0.138821,0.138821,0.78665,0.78665,0.138821,0.0462735,0.0462735,0.0462735,0.879197,0.879197,0.0462735,0.601556,0.0925471,0.0925471,91,frame.00091.jpg,0.029491445,0.6814076,0.03130106,0.002504681,0.005702684,0.09919718,0.007133225,0.143262148
0.340833,0.340833,0.0483818,0.0483818,0.492195,0.492195,0.58355,0.0359483,0.0359483,0.0359483,0.355971,0.355971,0.0954115,0.31867,0.0421651,0.0421651,92,frame.00092.jpg,0.002876903,0.835922658,0.01779569,0.000230475,0.000743716,0.033603292,0.00062244,0.108204849
0.5,0.5,0.05,0.05,0.65,0.65,0.95,0.05,0.05,0.05,0.4,0.4,0.15,0.4,0.05,0.05,93,frame.00093.jpg,0.04500394,0.7652315,0.023284076,0.001906651,0.00462934,0.110987708,0.015690632,0.033266142
0.5,0.5,0.05,0.05,0.65,0.65,0.95,0.05,0.05,0.05,0.4,0.4,0.15,0.4,0.05,0.05,94,frame.00094.jpg,0.04500394,0.7652315,0.023284076,0.001906651,0.00462934,0.110987708,0.015690632,0.033266142
0.5,0.5,0.05,0.05,0.65,0.65,0.95,0.05,0.05,0.05,0.4,0.4,0.15,0.4,0.05,0.05,95,frame.00095.jpg,0.04500394,0.7652315,0.023284076,0.001906651,0.00462934,0.110987708,0.015690632,0.033266142
0.5,0.5,0.05,0.05,0.65,0.65,0.95,0.05,0.05,0.05,0.4,0.4,0.15,0.4,0.05,0.05,96,frame.00096.jpg,0.04500394,0.7652315,0.023284076,0.001906651,0.00462934,0.110987708,0.015690632,0.033266142
0.272479,0.272479,0.615644,0.615644,0.143454,0.143454,0.0171343,0.0887221,0.044812,0.132632,0.490226,0.490226,0.134436,0.841507,0.132632,0.132632,97,frame.00097.jpg,0.000872393,0.8233769,0.014974607,0.000231223,0.000540952,0.01216575,6.57E-05,0.1477725
0.3,0.3,0.7,0.7,0.15,0.15,0,0.1,0.05,0.15,0.55,0.55,0.15,0.95,0.15,0.15,98,frame.00098.jpg,0.001568266,0.8446379,0.014379727,0.000451087,0.001391138,0.02555433,0.000277532,0.111740053
0.3,0.3,0.7,0.7,0.15,0.15,0,0.1,0.05,0.15,0.55,0.55,0.15,0.95,0.15,0.15,99,frame.00099.jpg,0.001568266,0.8446379,0.014379727,0.000451087,0.001391138,0.02555433,0.000277532,0.111740053
0.297904,0.297904,0.69511,0.69511,0.148952,0.148952,0,0.0993014,0.0496507,0.148952,0.546158,0.546158,0.148952,0.943363,0.148952,0.148952,100,frame.00100.jpg,0.003983215,0.839136,0.010708298,0.000678141,0.00174427,0.03932833,0.000607765,0.103813976
0.161609,0.161609,0.323245,0.323245,0.0404224,0.0404224,0.0807644,0.0269483,0.0403956,0.0673439,0.578959,0.578959,0.0673439,0.390616,0.121187,0.121187,101,frame.00101.jpg,0.001960568,0.8475468,0.01277331,0.000304572,0.001070974,0.038446236,0.000333045,0.09756446
0.146423,0.146423,0.244038,0.244038,0,0,0.146423,0,0.0488077,0.0488077,0.780923,0.780923,0.0488077,0.244038,0.146423,0.146423,102,frame.00102.jpg,0.001051826,0.774406552,0.010583681,6.73E-05,0.00023576,0.004964447,5.35E-05,0.208636925
0.15,0.15,0.25,0.25,0,0,0.15,0,0.05,0.05,0.8,0.8,0.05,0.25,0.15,0.15,103,frame.00103.jpg,0.001722664,0.775998,0.013251822,0.000139383,0.000414335,0.017984187,0.000196853,0.190292761
